Country/Region,2020/1/1,2020/1/2,2020/1/3,2020/1/4,2020/1/5,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/11,2020/1/12,2020/1/13,2020/1/14,2020/1/15,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25
Colombia,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,Require closing school of all levels,Restrictions on gatherings between 10-100 people,,,,,,Ban on high-risk regions,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,Restrictions on gatherings of less than 10 people,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,Total border closure,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,coordinated public information campaign (e.g. across traditional and social media),Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo (Kinshasa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,public officials urging caution about COVID-19,,,,,,,,Restrict movement,require closing workplace (or work from home) for some sectors or categories of workers,Ban on high-risk regions,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,Require closing school of all levels,,,,,Total border closure,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,recommend not leaving house,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,Recommend cancelling public events,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,Require closing school of all levels,,,require closing workplace (or work from home) for some sectors or categories of workers,,,Total border closure,recommend not leaving house,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,coordinated public information campaign (e.g. across traditional and social media),,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,,,Require closing school of all levels,require closing workplace (or work from home) for some sectors or categories of workers,Quarantine arrivals from high-risk regions,,,,Total border closure,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Require closing public transport(or prohibit most citizens from using it),,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,recommend closing workplace(or work from home),,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,,,Restrict movement,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,recommend closing workplace(or work from home),,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,Require cancelling public events,,,Require closing school of all levels,,Total border closure,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,Restrictions on gatherings of less than 10 people,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,coordinated public information campaign (e.g. across traditional and social media),,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,Require closing school of all levels,Restrictions on gatherings between 10-100 people,require closing workplace (or work from home) for some sectors or categories of workers,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)","require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",Total border closure,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,recommend not leaving house,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,recommend not leaving house,,,Restrictions on gatherings between 100-1000 people,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),recommend closing workplace(or work from home),,Require closing school of all levels,Total border closure,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,Require cancelling public events,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,Recommend cancelling public events,,,,,,,
Diamond Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),Require closing school of all levels,,,require closing workplace (or work from home) for some sectors or categories of workers,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),Require closing school of all levels,,,,,Ban on high-risk regions,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,recommend not leaving house,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,recommend closing school,recommend not leaving house,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Restrict movement,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,Require closing school of all levels,,Require closing public transport(or prohibit most citizens from using it),,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,require closing workplace (or work from home) for some sectors or categories of workers,,,Require closing public transport(or prohibit most citizens from using it),,Require cancelling public events,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,Total border closure,,,,require closing workplace (or work from home) for some sectors or categories of workers,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,Recommend cancelling public events,,,Require closing school of all levels,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,Quarantine arrivals from high-risk regions,,require closing workplace (or work from home) for some sectors or categories of workers,Restrict movement,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,recommend not leaving house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,recommend closing workplace(or work from home),Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,require closing workplace (or work from home) for some sectors or categories of workers,,,Total border closure,,,,,,,,,Restrict movement,,,,,,,,,,,,,,,,,,Recommend movement restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing school,Restrictions on gatherings between 10-100 people,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,Screening,coordinated public information campaign (e.g. across traditional and social media),,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on very large gatherings (the limit is above 1000 people),,Require closing school of all levels,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,Recommend movement restriction,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,Require closing school of all levels,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),,Ban on high-risk regions,,,Total border closure,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Require cancelling public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,Require closing school of all levels,,,,,,,recommend not leaving house,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,Total border closure,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,Restrictions on gatherings of less than 10 people,Restrict movement,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,recommend not leaving house
Germany,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,Screening,Recommend cancelling public events,,,,,,,,,recommend not leaving house,Restrictions on very large gatherings (the limit is above 1000 people),,,,,,Require closing school of all levels,,Total border closure,Restrict movement,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",recommend closing workplace(or work from home),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,coordinated public information campaign (e.g. across traditional and social media),Require closing school of all levels,Ban on high-risk regions,,,,,Total border closure,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,Require cancelling public events,,,,,Require closing school of all levels,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,Restrictions on gatherings of less than 10 people,,,Restrict movement,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,require closing workplace (or work from home) for some sectors or categories of workers,Require closing school of all levels,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,Recommend movement restriction,,,Restrictions on gatherings between 100-1000 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,public officials urging caution about COVID-19,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,Recommend cancelling public events,,,Ban on high-risk regions,,,Restrictions on gatherings between 10-100 people,Require closing school of all levels,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,Total border closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrict movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recommend cancelling public events,,,,,Require closing school of all levels,,Ban on high-risk regions,,,,,,,,recommend not leaving house,Total border closure,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,Require closing school of all levels,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Total border closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,Ban on high-risk regions,,Require closing school of all levels,recommend not leaving house,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",Restrict movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,require closing workplace (or work from home) for some sectors or categories of workers,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,recommend not leaving house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",Recommend cancelling public events,,,,,,,,Require closing school of all levels,Require cancelling public events,Ban on high-risk regions,recommend closing workplace(or work from home),,,Restrictions on gatherings of less than 10 people,Require closing public transport(or prohibit most citizens from using it),"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)","Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,
